BotName,PlayerHealth,Win
RandomBot,0,False
RandomBot,0,False
RandomBot,0,False
RandomBot,0,False
RandomBot,4,True
RandomBot,0,False
RandomBot,0,False
RandomBot,0,False
RandomBot,0,False
RandomBot,0,False
RandomBot,14,True
RandomBot,0,False
RandomBot,0,False
RandomBot,0,False
RandomBot,9,True
RandomBot,0,False
RandomBot,0,False
RandomBot,0,False
RandomBot,0,False
RandomBot,0,False
RandomBot,0,False
RandomBot,0,False
RandomBot,14,True
RandomBot,9,True
RandomBot,0,False
CoT-gpt41,5,True
CoT-gpt41,27,True
CoT-gpt41,20,True
CoT-gpt41,3,True
CoT-gpt41,17,True
CoT-gpt41,27,True
CoT-gpt41,0,False
CoT-gpt41,7,True
CoT-gpt41,10,True
CoT-gpt41,22,True
CoT-gpt41,15,True
CoT-gpt41,22,True
CoT-gpt41,0,False
CoT-gpt41,15,True
CoT-gpt41,0,False
CoT-gpt41,5,True
CoT-gpt41,29,True
CoT-gpt41,17,True
CoT-gpt41,3,True
CoT-gpt41,5,True
CoT-gpt41,22,True
CoT-gpt41,15,True
CoT-gpt41,22,True
CoT-gpt41,25,True
CoT-gpt41,17,True
RCoT-gpt41,36,True
RCoT-gpt41,36,True
RCoT-gpt41,36,True
RCoT-gpt41,36,True
RCoT-gpt41,36,True
RCoT-gpt41,41,True
RCoT-gpt41,41,True
RCoT-gpt41,31,True
RCoT-gpt41,41,True
RCoT-gpt41,41,True
RCoT-gpt41,24,True
RCoT-gpt41,41,True
RCoT-gpt41,31,True
RCoT-gpt41,39,True
RCoT-gpt41,36,True
RCoT-gpt41,58,True
RCoT-gpt41,31,True
RCoT-gpt41,29,True
RCoT-gpt41,41,True
RCoT-gpt41,41,True
RCoT-gpt41,41,True
RCoT-gpt41,41,True
RCoT-gpt41,31,True
RCoT-gpt41,41,True
RCoT-gpt41,31,True
MCTSAgent,26,True
MCTSAgent,0,False
MCTSAgent,31,True
MCTSAgent,31,True
MCTSAgent,14,True
MCTSAgent,14,True
MCTSAgent,36,True
MCTSAgent,19,True
MCTSAgent,9,True
MCTSAgent,0,False
MCTSAgent,31,True
MCTSAgent,36,True
MCTSAgent,31,True
MCTSAgent,36,True
MCTSAgent,0,False
MCTSAgent,14,True
MCTSAgent,0,False
MCTSAgent,9,True
MCTSAgent,0,False
MCTSAgent,31,True
MCTSAgent,41,True
MCTSAgent,14,True
MCTSAgent,19,True
MCTSAgent,9,True
MCTSAgent,14,True
